"sample","strain","sex","letter","concordance"
"X.NOD.ShiLtJxWSB.EiJ.F1f0141","(NOD/ShiLtJxWSB/EiJ)F1","f","DH",0.999757634512845
"X.NOD.ShiLtJxWSB.EiJ.F1m0143","(NOD/ShiLtJxWSB/EiJ)F1","m","DH",0.999714778739607
"X.NZO.HILtJxA.J.F1f0023","(NZO/HILtJxA/J)F1","f","EA",0.999800691883889
"X.NZO.HILtJxA.J.F1m0016","(NZO/HILtJxA/J)F1","m","EA",0.999800586844429
"X.NZO.HILtJxA.J.F1m0016.1","(NZO/HILtJxA/J)F1","m","EA",0.999786376518507
"X.NZO.HILtJxC57BL.6J.F1f15684","(NZO/HILtJxC57BL/6J)F1","f","EB",0.993663586267781
"X.NZO.HILtJxC57BL.6J.F1m15682","(NZO/HILtJxC57BL/6J)F1","m","EB",0.993704241802695
"X.NZO.HILtJx129S1.SvImJ.F1f0015","(NZO/HILtJx129S1/SvImJ)F1","f","EC",0.998985076333695
"X.NZO.HILtJx129S1.SvImJ.F1m0013","(NZO/HILtJx129S1/SvImJ)F1","m","EC",0.999615412007692
"X.NZO.HILtJxNOD.ShiLtJ.F1f0042","(NZO/HILtJxNOD/ShiLtJ)F1","f","ED",0.999757682878157
"X.NZO.HILtJxNOD.ShiLtJ.F1m0036","(NZO/HILtJxNOD/ShiLtJ)F1","m","ED",0.999786437347837
"NZO.HILtJf0588","NZO/HILtJ","f","EE",0.999886013906303
